Tier,Start Time,End Time,Label
words,0.0,2.037,
words,2.037,2.187,it's
words,2.187,2.537,raining
words,2.537,2.877,again
words,2.877,5.358,
words,5.358,5.448,i'm
words,5.448,5.928,tired
words,5.928,7.178,
words,7.178,7.308,and
words,7.308,7.448,wet
words,7.448,9.719,
words,9.719,9.749,i
words,9.749,9.789,
words,9.789,10.039,can't
words,10.039,10.269,tell
words,10.269,10.459,whether
words,10.459,10.589,i'm
words,10.589,10.929,awake
words,10.929,11.009,or
words,11.009,11.769,sleepwalking
words,11.769,13.419,
words,13.419,13.749,everything
words,13.749,14.119,around
words,14.119,14.189,me
words,14.189,14.219,
words,14.219,14.619,seems
words,14.619,14.819,so
words,14.819,15.219,real
words,15.219,17.24,
words,17.24,17.28,the
words,17.28,17.69,people
words,17.69,18.62,
words,18.62,18.74,it's
words,18.74,18.88,as
words,18.88,19.21,if
words,19.21,19.28,the
words,19.28,19.54,rain
words,19.54,19.67,is
words,19.67,20.06,cleansing
words,20.06,20.17,their
words,20.17,20.61,bodies
words,20.61,21.781,
words,21.781,22.161,revealing
words,22.161,22.311,their
words,22.311,22.641,souls
words,22.641,24.642,
words,24.642,24.712,you
words,24.712,24.902,see
words,24.902,25.062,their
words,25.062,25.302,true
words,25.302,25.612,range
words,25.612,25.682,of
words,25.682,26.242,emotions
words,26.242,26.752,inside
words,26.752,26.802,
words,26.802,27.472,the
words,27.472,27.512,
words,27.512,28.202,peacefulness
words,28.202,28.782,
words,28.782,28.852,the
words,28.852,29.523,sadness
words,29.523,30.003,
words,30.003,30.063,the
words,30.063,30.713,frustration
words,30.713,37.671,
words,37.671,37.741,is
words,37.741,37.821,it
words,37.821,38.021,just
words,38.021,38.111,the
words,38.111,38.332,rain
words,38.332,40.0,
phones,0.0,2.037,
phones,2.037,2.067,IH0
phones,2.067,2.107,T
phones,2.107,2.187,S
phones,2.187,2.297,R
phones,2.297,2.387,EY1
phones,2.387,2.417,N
phones,2.417,2.467,IH0
phones,2.467,2.537,NG
phones,2.537,2.607,AH0
phones,2.607,2.697,G
phones,2.697,2.847,EH1
phones,2.847,2.877,N
phones,2.877,5.358,
phones,5.358,5.388,AY1
phones,5.388,5.448,M
phones,5.448,5.598,T
phones,5.598,5.718,AY1
phones,5.718,5.898,ER0
phones,5.898,5.928,D
phones,5.928,7.178,
phones,7.178,7.208,AH0
phones,7.208,7.238,N
phones,7.238,7.308,D
phones,7.308,7.348,W
phones,7.348,7.378,EH1
phones,7.378,7.448,T
phones,7.448,9.719,
phones,9.719,9.749,AY1
phones,9.749,9.789,
phones,9.789,9.889,K
phones,9.889,9.919,AE1
phones,9.919,9.969,N
phones,9.969,10.039,T
phones,10.039,10.109,T
phones,10.109,10.179,EH1
phones,10.179,10.269,L
phones,10.269,10.329,W
phones,10.329,10.369,EH1
phones,10.369,10.419,DH
phones,10.419,10.459,ER0
phones,10.459,10.539,AH0
phones,10.539,10.589,M
phones,10.589,10.639,AH0
phones,10.639,10.749,W
phones,10.749,10.829,EY1
phones,10.829,10.929,K
phones,10.929,11.009,ER0
phones,11.009,11.159,S
phones,11.159,11.209,L
phones,11.209,11.269,IY1
phones,11.269,11.399,P
phones,11.399,11.429,W
phones,11.429,11.489,AO2
phones,11.489,11.669,K
phones,11.669,11.699,IH0
phones,11.699,11.769,NG
phones,11.769,13.419,
phones,13.419,13.449,EH1
phones,13.449,13.489,V
phones,13.489,13.519,R
phones,13.519,13.549,IY0
phones,13.549,13.629,TH
phones,13.629,13.669,IH2
phones,13.669,13.749,NG
phones,13.749,13.859,ER0
phones,13.859,13.969,AW1
phones,13.969,14.079,N
phones,14.079,14.119,D
phones,14.119,14.159,M
phones,14.159,14.189,IY1
phones,14.189,14.219,
phones,14.219,14.419,S
phones,14.419,14.449,IY1
phones,14.449,14.579,M
phones,14.579,14.619,Z
phones,14.619,14.729,S
phones,14.729,14.819,OW1
phones,14.819,15.009,R
phones,15.009,15.159,IY1
phones,15.159,15.219,L
phones,15.219,17.24,
phones,17.24,17.25,DH
phones,17.25,17.28,AH0
phones,17.28,17.44,P
phones,17.44,17.51,IY1
phones,17.51,17.61,P
phones,17.61,17.64,AH0
phones,17.64,17.69,L
phones,17.69,18.62,
phones,18.62,18.65,IH0
phones,18.65,18.71,T
phones,18.71,18.74,S
phones,18.74,18.78,EH1
phones,18.78,18.88,Z
phones,18.88,18.94,IH1
phones,18.94,19.21,F
phones,19.21,19.24,DH
phones,19.24,19.28,AH0
phones,19.28,19.38,R
phones,19.38,19.51,EY1
phones,19.51,19.54,N
phones,19.54,19.62,IH0
phones,19.62,19.67,Z
phones,19.67,19.79,K
phones,19.79,19.82,L
phones,19.82,19.86,EH1
phones,19.86,19.93,N
phones,19.93,19.97,Z
phones,19.97,20.0,IH0
phones,20.0,20.06,NG
phones,20.06,20.1,DH
phones,20.1,20.13,EH1
phones,20.13,20.17,R
phones,20.17,20.25,B
phones,20.25,20.43,AA1
phones,20.43,20.47,D
phones,20.47,20.57,IY0
phones,20.57,20.61,Z
phones,20.61,21.781,
phones,21.781,21.811,R
phones,21.811,21.841,IH0
phones,21.841,21.911,V
phones,21.911,22.001,IY1
phones,22.001,22.051,L
phones,22.051,22.101,IH0
phones,22.101,22.161,NG
phones,22.161,22.221,DH
phones,22.221,22.251,EH1
phones,22.251,22.311,R
phones,22.311,22.451,S
phones,22.451,22.481,OW1
phones,22.481,22.611,L
phones,22.611,22.641,Z
phones,22.641,24.642,
phones,24.642,24.682,Y
phones,24.682,24.712,UW1
phones,24.712,24.872,S
phones,24.872,24.902,IY1
phones,24.902,24.962,DH
phones,24.962,25.002,EH1
phones,25.002,25.062,R
phones,25.062,25.192,T
phones,25.192,25.232,R
phones,25.232,25.302,UW1
phones,25.302,25.392,R
phones,25.392,25.492,EY1
phones,25.492,25.542,N
phones,25.542,25.612,JH
phones,25.612,25.642,AH0
phones,25.642,25.682,V
phones,25.682,25.732,IH0
phones,25.732,25.812,M
phones,25.812,25.952,OW1
phones,25.952,26.072,SH
phones,26.072,26.112,AH0
phones,26.112,26.172,N
phones,26.172,26.242,Z
phones,26.242,26.282,IH0
phones,26.282,26.372,N
phones,26.372,26.482,S
phones,26.482,26.652,AY1
phones,26.652,26.752,D
phones,26.752,26.802,
phones,26.802,26.832,DH
phones,26.832,27.472,AH0
phones,27.472,27.512,
phones,27.512,27.592,P
phones,27.592,27.662,IY1
phones,27.662,27.772,S
phones,27.772,27.832,F
phones,27.832,27.862,AH0
phones,27.862,27.952,L
phones,27.952,28.022,N
phones,28.022,28.102,AH0
phones,28.102,28.202,S
phones,28.202,28.782,
phones,28.782,28.812,DH
phones,28.812,28.852,AH0
phones,28.852,28.992,S
phones,28.992,29.182,AE1
phones,29.182,29.352,D
phones,29.352,29.382,N
phones,29.382,29.422,AH0
phones,29.422,29.523,S
phones,29.523,30.003,
phones,30.003,30.033,DH
phones,30.033,30.063,AH0
phones,30.063,30.133,F
phones,30.133,30.163,R
phones,30.163,30.213,AH0
phones,30.213,30.343,S
phones,30.343,30.383,T
phones,30.383,30.423,R
phones,30.423,30.513,EY1
phones,30.513,30.653,SH
phones,30.653,30.683,AH0
phones,30.683,30.713,N
phones,30.713,37.671,
phones,37.671,37.701,IH0
phones,37.701,37.741,Z
phones,37.741,37.781,IH1
phones,37.781,37.821,T
phones,37.821,37.871,JH
phones,37.871,37.921,IH0
phones,37.921,37.961,S
phones,37.961,38.021,T
phones,38.021,38.051,DH
phones,38.051,38.111,AH0
phones,38.111,38.201,R
phones,38.201,38.301,EY1
phones,38.301,38.332,N
phones,38.332,40.0,
